Country,Operator,Brand,PLMN
Afghanistan,AWCC,,
Afghanistan,Etisalat,,
Afghanistan,MTN,,
Afghanistan,Roshan,,
Afghanistan,Salaam,,
Albania,One,,27601 27603
Albania,Vodafone,,27602
Albania,Albtelecom,,
Algeria,Djezzy,,
Algeria,Mobilis,,
Algeria,Ooredoo,,
American Samoa,American Samoa Telecommunications Authority,,
American Samoa,Blue Sky Communications,,
Andorra,Andorra Telecom,,21303
Angola,Africell,,
Angola,Movicel,,
Angola,Unitel,,
Anguilla,Digicel,,
Anguilla,FLOW,,
Antigua and Barbuda,APUA,,
Antigua and Barbuda,Digicel,,
Antigua and Barbuda,FLOW,,
Argentina,Claro,,
Argentina,Movistar,,
Argentina,Nuestro,,
Argentina,Personal,,
Argentina,Tuenti,,
Armenia,Beeline,,28301
Armenia,Ucom,,28310
Armenia,Viva,,28305
Aruba,Digicel,,
Aruba,SetarNV,,
Australia,Optus,,
Australia,Telstra,,
Australia,Vodafone,,
Austria,A1,,23201
Austria,Drei,,23205
Austria,Magenta,,23203
Azerbaijan,Azercell,,40001
Azerbaijan,Bakcell,,40002
Azerbaijan,Nakhtel,,40006
Azerbaijan,Nar,,40004
Bahamas,Aliv,,
Bahamas,BTC,,
Bahrain,Batelco,,
Bahrain,Zain,,
Bahrain,STC,,
Bangladesh,Banglalink,,
Bangladesh,Grameenphone,,
Bangladesh,Robi,,
Bangladesh,Teletalk,,
Barbados,Digicel,,
Barbados,FLOW,,
Belarus,A1,,25701
Belarus,Life,,25704
Belarus,MTS,,25702
Belgium,Telenet,,20620
Belgium,Digi,,20612
Belgium,Orange,,20610
Belgium,Proximus,,20601
Belize,Digi,,
Belize,Smart,,
Benin,BBcom,,
Benin,MTN,,
Benin,Moov,,
Bermuda,Digicel,,
Bermuda,One,,
Bhutan,B-Mobile,,
Bhutan,TashiCell,,
Bolivia,Entel,,
Bolivia,Tigo,,
Bolivia,Viva,,
Bonaire,Digicel,,
Bonaire,FLOW,,
Bosnia and Herzegovina,BH Mobile,,21890
Bosnia and Herzegovina,HT ERONET,,21803
Bosnia and Herzegovina,haloo,,21803
Bosnia and Herzegovina,m:tel,,21805
Botswana,Mascom,,
Botswana,Orange,,
Botswana,BTC,,
Brazil,Algar Telecom,,
Brazil,Claro,,
Brazil,Surf,,
Brazil,TIM,,
Brazil,Vivo,,
British Virgin Islands,CCT,,
British Virgin Islands,Digicel,,
British Virgin Islands,FLOW,,
Brunei,Datastream Technology Sdn Bhd,,
Brunei,Progresif Cellular Sdn Bhd,,
Bulgaria,A1,,28401
Bulgaria,Vivacom,,28403
Bulgaria,Yettel,,28405
Burkina Faso,Orange,,
Burkina Faso,Telecel,,
Burkina Faso,Telmob,,
Burundi,Econet Leo,,
Burundi,Lumitel,,
Burundi,Onamob,,
Burundi,Smart Mobile,,
Cambodia,Cellcard,,
Cambodia,Metfone,,
Cambodia,Smart,,
Cameroon,Camtel,,
Cameroon,MTN,,
Cameroon,Nexttel,,
Cameroon,Orange,,
Canada,Bell,,
Canada,Rogers,,
Canada,SaskTel,,
Canada,Telus,,
Cape Verde,CV Móvel,,
Cape Verde,T-MAIS,,
Cayman Islands,Digicel,,
Cayman Islands,FLOW Cayman,,
Central African Republic,Moov,,
Central African Republic,Orange,,
Central African Republic,Azur,,
Central African Republic,Telecel,,
Chad,Airtel,,
Chad,Tigo,,
Chad,Salam,,
Chile,Claro,,
Chile,Entel,,
Chile,GTD/Telsur Móvil,,
Chile,Movistar,,
Chile,Mundo Móvil,,
Chile,VTR Móvil,,
Chile,Virgin Mobile,,
Chile,WOM,,
China,China Broadnet,,
China,China Mobile,,
China,China Telecom,,
China,China Unicom,,
Colombia,Claro,,
Colombia,ETB,,
Colombia,Flash Móvil,,
Colombia,Movistar,,
Colombia,Móvil Éxito,,
Colombia,Suma Móvil,,
Colombia,Tigo,,
Colombia,Virgin Mobile,,
Colombia,WOM,,
Comoros,HURI,,
Comoros,Telma,,
Congo,Airtel,,
Congo,Azur,,
Congo,MTN,,
Cook Islands,Vodafone,,
Costa Rica,Claro,,
Costa Rica,Fullmóvil,,
Costa Rica,Kölbi,,
Costa Rica,Liberty,,
Costa Rica,Tuyo Móvil,,
Croatia,A1,,21910
Croatia,T-Mobile,,21901
Croatia,Tele2,,21902
Cuba,Cubacel,,
Curaçao,Digicel,,
Curaçao,FLOW,,
Czechia,O2,,23002
Czechia,T-Mobile,,23001
Czechia,Vodafone,,23003
Congo RDC,Africell,,
Congo RDC,Airtel,,
Congo RDC,Orange,,
Congo RDC,SemaTel,,
Congo RDC,Smile,,
Congo RDC,Supercell,,
Congo RDC,U-Com,,
Congo RDC,Vodacom,,
Denmark,3,,23806
Denmark,Telia,,23820
Denmark,TDC,,23801
Denmark,Telenor,,23802
Djibouti,Evatis,,
Dominica,Digicel,,
Dominica,FLOW,,
Dominican Republic,Claro,,
Dominican Republic,Viva,,
Dominican Republic,altice,,
Ecuador,Claro,,
Ecuador,Cnt,,
Ecuador,Movistar,,
Ecuador,Tuenti,,
Egypt,Etisalat,,
Egypt,Orange,,
Egypt,Vodafone,,
Egypt,WE,,
El Salvador,Claro,,
El Salvador,Digicel,,
El Salvador,Movistar,,
El Salvador,RED,,
El Salvador,Tigo,,
Equatorial Guinea,Gecomsa,,
Equatorial Guinea,Muni,,
Equatorial Guinea,Orange,,
Eritrea,Eritel,,
Estonia,Elisa,,24802
Estonia,Tele2,,24803
Estonia,Telia,,24801
Eswatini,Eswatini Mobile,,
Eswatini,MTN,,
Ethiopia,Ethiotelecom,,
Ethiopia,Safaricom Telecommunications Ethiopia,,
Falkland Islands,Sure,,
Faroe Islands,Føroya Tele,,28801
Faroe Islands,Nema,,28802
Faroe Islands,Tosa,,28803
Fiji,Digicel,,
Fiji,Vodafone,,
Finland,DNA,,24403 24404 24412 24413 24436 (SYV [2] )
Finland,Elisa,,24405 24406 24421
Finland,Telia,,24420 24436 (SYV [3] ) 24491
Finland,Ålcom,,24414
France,Bouygues,,20820
France,Free,,20815
France,Orange,,20801
France,SFR,,20810
France (Saint-Pierre-et-Miquelon),Globatel,,
France (Saint-Pierre-et-Miquelon),SPM Telecom,,30801
French Polynesia,VINI,,
French Polynesia,VITI,,
French Polynesia,Vodafone,,
Gabon,Airtel,,
Gabon,Moov,,
Gambia,Africell,,
Gambia,Comium,,
Gambia,Gamcel,,
Gambia,Qcell,,
Georgia,A-Mobile,,28988 (MCC is not listed by ITU)
Georgia,Aquafon,,28967 (MCC is not listed by ITU)
Georgia,Cellfie,,28204
Georgia,Magticom,,28202
Georgia,MegaFon,,25002
Georgia,Silknet,,28201
Germany,1&1,,26223
Germany,O 2,,26203
Germany,Telekom,,26201
Germany,Vodafone Germany,,26202
Ghana,AirtelTigo,,
Ghana,Glo,,
Ghana,MTN,,
Ghana,Vodafone Ghana,,
Gibraltar,Gibtelecom,,26601
Greece,COSMOTE,,"20201, 20202"
Greece,NOVA,,"20209 (Q-TELECOM), 20210 (NOVA)"
Greece,Vodafone,,"20205 (Vodafone), 20214 (CYTA Hellas)"
Greenland,tusass,,29001
Grenada,Digicel,,
Grenada,FLOW,,
"Guadeloupe, Martinique and French Guiana (Guyane)",Digicel,,
"Guadeloupe, Martinique and French Guiana (Guyane)",IEC Telecom,,
"Guadeloupe, Martinique and French Guiana (Guyane)",Orange Caraïbe,,
"Guadeloupe, Martinique and French Guiana (Guyane)",Outremer Telecom,,
"Guadeloupe, Martinique and French Guiana (Guyane)",SFR Caraïbe,,
Guam,Docomo Pacific,,
Guam,GTA,,
Guam,IT&E and Iconnect,,
Guatemala,Claro,,
Guatemala,Tigo,,
Guernsey,Airtel-Vodafone,,23403
Guernsey,JT,,23450
Guernsey,Sure,,23455
Guinea,Cellcom Guinée,,
Guinea,Intercel,,
Guinea,MTN,,
Guinea,Orange,,
Guinea,Sotelgui,,
Guinea-Bissau,Guinetel,,
Guinea-Bissau,MTN,,
Guinea-Bissau,Orange,,
Guyana,Digicel,,
Guyana,gtt,,
Haiti,Digicel,,
Haiti,NATCOM,,
Honduras,Claro,,
Honduras,HONDUTEL,,
Honduras,Tigo,,
Hong Kong,3,,
Hong Kong,CMHK,,
Hong Kong,SmarTone,,
Hong Kong,csl,,
Hungary,Magyar Telekom,,21630
Hungary,One,,21670
Hungary,Yettel,,21601
Iceland,Nova,,27411
Iceland,Síminn,,27401
Iceland,Vodafone,,27402
India,Airtel,,
India,BSNL,,
India,Jio,,
India,MTNL,,
India,Vi,,
Indonesia,Indosat Ooredoo Hutchison,,"51001, 51021 and 51089"
Indonesia,Telkomsel,,51010
Indonesia,XLSmart,,"51009, 51011 and 51028"
Iran,Hamrahe Aval,,
Iran,Irancell,,
Iran,RighTel,,
Iraq,Asia Cell,,
Iraq,Itisaluna,,
Iraq,Korek,,
Iraq,Omnnea,,
Iraq,Zain,,
Ireland,3,,"27205 (Three), 27202 (O 2 )"
Ireland,Vodafone,,27201
Ireland,Eir,,27203
Isle of Man,Manx Telecom,,23458
Isle of Man,Sure,,23436
Italy,Iliad,,22250
Italy,TIM,,22201
Italy,Vodafone,,22210
Italy,Wind Tre,,22288 and 22299
Côte d’Ivoire,GreenN,,
Côte d’Ivoire,Koz,,
Côte d’Ivoire,MTN,,
Côte d’Ivoire,Mobile Cafe,,
Côte d’Ivoire,Moov,,
Côte d’Ivoire,Orange,,
Côte d’Ivoire,Warid,,
Côte d’Ivoire,YooMee,,
Jamaica,Digicel,,
Jamaica,FLOW,,
Japan,Disney Mobile,,
Japan,IIJmio,,
Japan,NTT Docomo,,
Japan,Rakuten Mobile,,
Japan,SoftBank Corp. & Ymobile,,
Japan,au,,
Japan,b-mobile,,
Jersey,Airtel-Vodafone,,23403
Jersey,JT,,23450
Jersey,Sure,,23455
Jordan,Orange,,
Jordan,Umniah,,
Jordan,Zain,,
Kazakhstan,Beeline,,40101
Kazakhstan,Kcell,,40102
Kazakhstan,Tele2,,40177
Kenya,Airtel,,
Kenya,Safaricom,,
Kenya,Telkom,,
Kosovo,Ipko,,22102
Kosovo,Vala,,22101
Kuwait,Ooredoo,,
Kuwait,STC,,
Kuwait,Zain,,
Kyrgyzstan,Beeline,,43701
Kyrgyzstan,Fonex,,43703
Kyrgyzstan,Katel,,
Kyrgyzstan,MegaCom,,43705
Kyrgyzstan,Nexi,,
Kyrgyzstan,O!,,43709
Kyrgyzstan,Saima Telecom,,43710
Kyrgyzstan,Sapat Mobile,,
Kyrgyzstan,iTel,,43711
Laos,ETL,,
Laos,Lao Telecom,,
Laos,TPLUS,,
Laos,Unitel,,
Latvia,Bitė,,24705
Latvia,LMT,,24701
Latvia,Tele2,,24702
Latvia,Triatel,,24703
Latvia,Xomobile,,24709
Lebanon,Alfa,,
Lebanon,Touch,,
